sep=,
"pers_id","id_ca_parlinfo","last_name","first_name","gender","birth_date","death_date","birth_place_raw","wikidata_id","wikipedia_en","wikipedia_fr","twitter_screen_name","twitter_id","parlinfo_is_mp","parlinfo_is_senator","parlinfo_party","parlinfo_constituency","parlinfo_occupation","parlinfo_language"
"CA_Phillips_Arthur_1930","40","Phillips","Arthur","m","12sep1930","29mar2013","Montreal, Quebec, Canada","Q4797014","Art_Phillips",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","Vancouver Centre","investment analyst",NA
"CA_Alexander_Lincoln_1922","42","Alexander","Lincoln-MacCauley","m","21jan1922","19oct2012","Toronto, Ontario, Canada","Q4357982","Lincoln_Alexander","Lincoln_Alexander",NA,NA,TRUE,FALSE,"Progressive Conservative Party","Hamilton West","barrister and solicitor, lawyer",NA
"CA_Hosking_Henry_1908","43","Hosking","Henry-Alfred","m","06aug1908","03jun1957","Bellows Falls, Vermont, United States","Q5717214","Henry_Alfred_Hosking","Henry_Alfred_Hosking",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Wellington South","mechanical engineer, garage owner / operator, merchant",NA
"CA_Blanchet_Jean_1842","45","Blanchet","Jean-Baptiste","m","oct1842","31aug1904","Saint-Damase, Canada East","Q3163891","Jean-Baptiste_Blanchet","Jean-Baptiste_Blanchet",NA,NA,TRUE,FALSE,"Liberal Party of Canada","St. Hyacinthe","lawyer",NA
"CA_Monteith_Kenneth_1938","51","Monteith","Kenneth-Ernest","m","26jun1938","03feb2023","St Thomas, Ontario, Canada","Q6388180","Ken_Monteith",NA,NA,NA,TRUE,FALSE,"Progressive Conservative Party","Elgin","farmer",NA
"CA_Campbell_John_1849","57","Campbell","John","m","16jul1849","26may1887","Weymouth, Nova Scotia, Canada","Q6224977","John_Campbell_(Nova_Scotia_politician)",NA,NA,NA,TRUE,FALSE,"Conservative (1867-1942)","Digby","merchant",NA
"CA_Chatterton_George_1916","66","Chatterton","George-Louis","m","16jan1916","07sep1983","South Africa","Q5537840","George_Chatterton_(politician)",NA,NA,NA,TRUE,FALSE,"Progressive Conservative Party","Esquimalt--Saanich","agrologist",NA
"CA_McCullough_Edward_1909","72","McCullough","Edward-George","m","28may1909","17jun1994","Moose Jaw, Saskatchewan, Canada","Q5344390","Edward_McCullough",NA,NA,NA,TRUE,FALSE,"Co-operative Commonwealth Federation","Assiniboia","farmer",NA
"CA_Benjamin_Leslie_1925","79","Benjamin","Leslie-Gordon","m","29apr1925","16jun2003","Medicine Hat, Alberta, Canada","Q6529229","Les_Benjamin",NA,NA,NA,TRUE,FALSE,"New Democratic Party","Regina--Lake Centre","telegrapher, manager, railway station agent, secretary",NA
"CA_Carrie_Colin_1962","82","Carrie","Colin","m","11apr1962",NA,"Hamilton, Ontario, Canada","Q2982579","Colin_Carrie","Colin_Carrie","ColinCarrie",NA,TRUE,FALSE,"Conservative Party of Canada","Oshawa","chiropractor",NA
"CA_Fauteux_Gaspard_1898","83","Fauteux","Gaspard","m","27aug1898","29mar1963","Saint-Hyacinthe, Quebec, Canada","Q1426465","Gaspard_Fauteux","Gaspard_Fauteux",NA,NA,TRUE,FALSE,"Liberal Party of Canada","St. Mary","dentist, industrialist",NA
"CA_Silye_Jim_1946","85","Silye","Jim","m","28apr1946",NA,"Vöcklabruck, Austria","Q6198119","Jim_Silye",NA,NA,NA,TRUE,FALSE,"Reform Party of Canada; Progressive Conservative Party","Calgary Centre","professional football player, businessman",NA
"CA_Johnson_Paul_1929","86","Johnson","Paul-Leo-Maurice","m","17jan1929","24jan2020",NA,"Q3300963","Maurice_Johnson_(Canadian_politician)","Maurice_Johnson",NA,NA,TRUE,FALSE,"Progressive Conservative Party","Chambly--Rouville","lawyer",NA
"CA_Drayton_Henry_1869","91","Drayton","Henry-Lumley","m","27apr1869","28aug1950","Kingston, Ontario, Canada","Q5725172","Henry_Lumley_Drayton","Henry_Lumley_Drayton",NA,NA,TRUE,FALSE,"Conservative (1867-1942); Unionist","Kingston","Crown Attorney, barrister",NA
"CA_Andre_Guy_1959","93","Andre","Guy","m","17nov1959",NA,"Montreal, Quebec, Canada","Q3121519","Guy_André","Guy_André",NA,NA,TRUE,FALSE,"Bloc Québécois","Berthier--Maskinongé","mediator, coordinator, social worker, political assistant, teacher",NA
"CA_Jordan_Joe_1958","100","Jordan","Joe-Louis","m","19nov1958",NA,"Pembroke, Ontario, Canada","Q6210586","Joe_Jordan_(politician)",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","Leeds--Grenville","professor, businessman",NA
"CA_Latour_Joseph_1906","103","Latour","Joseph-Octave","m","12feb1906","22may1975","Saint-Jérôme, Quebec, Canada","Q3184388","Joseph-Octave_Latour","Joseph-Octave_Latour",NA,NA,TRUE,FALSE,"Progressive Conservative Party","Argenteuil--Deux-Montagnes","notary",NA
"CA_Donaghy_Dugald_1873","109","Donaghy","Dugald","m","22sep1873","17oct1963","East Garafraxa, Ontario, Canada","Q5312455","Dugald_Donaghy",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","Vancouver North","barrister",NA
"CA_Manley_John_1950","115","Manley","John-Paul","m","05jan1950",NA,"Ottawa, Ontario, Canada","Q1389967","John_Manley","John_Manley_(homme_politique_canadien)",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Ottawa South","barrister and solicitor, lawyer, teacher, business advisor",NA
"CA_Anderson_Hugh_1933","118","Anderson","Hugh-Alan","m","25sep1933","22apr2015","Saskatoon, Saskatchewan, Canada","Q5929800","Hugh_Alan_Anderson",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","Comox--Alberni","insurance broker, insurance agent",NA
"CA_Legare_Gerard_1908","121","Legare","Gerard","m","11jul1908","01nov1997","Chicoutimi, Quebec, Canada","Q3124142","Gérard_Légaré","Gérard_Legaré",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Rimouski","printer, editor, journalist, publisher",NA
"CA_Robertson_Frederick_1909","126","Robertson","Frederick-Greystock","m","07mar1909","17sep2002","Belleville, Ontario, Canada","Q5498645","Frederick_Robertson_(politician)",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","Northumberland","physician",NA
"CA_Clarke_Harry_1881","128","Clarke","Harry-Gladstone","m","01jun1881","08apr1956","Toronto, Ontario, Canada","Q15998800","Harry_Gladstone_Clarke",NA,NA,NA,TRUE,FALSE,"Conservative (1867-1942)","Rosedale","gentleman, insurance agent",NA
"CA_Macdonald_Augustine_1837","136","Macdonald","Augustine-Colin","m","30jun1837","16jul1919","Panmure, Prince Edward Island, Canada","Q768248","Augustine_Colin_Macdonald","Augustine_Colin_Macdonald",NA,NA,TRUE,FALSE,"Conservative (1867-1942); Liberal-Conservative","King's County","merchant",NA
"CA_Robidoux_Ferdinand_1875","138","Robidoux","Ferdinand-Joseph","m","17oct1875","17jun1962","Shediac, New Brunswick, Canada","Q3068650","Ferdinand-Joseph_Robidoux","Ferdinand_Robidoux",NA,NA,TRUE,FALSE,"Conservative (1867-1942)","Kent","lawyer",NA
"CA_Harper_Stephen_1959","139","Harper","Stephen-Joseph","m","30apr1959",NA,"Toronto, Ontario, Canada","Q206","Stephen_Harper","Stephen_Harper","stephenharper",NA,TRUE,FALSE,"Conservative Party of Canada; Canadian Reform Conservative Alliance; Reform Party of Canada","Calgary West","economist, lecturer, author",NA
"CA_Smith_Heber_1915","141","Smith","Heber-Edgar","m","08aug1915","25oct1990","Tiny Township, Ontario, Canada","Q5695717","Heber_Smith","Heber_Smith",NA,NA,TRUE,FALSE,"Progressive Conservative Party","Simcoe North","barrister, lawyer",NA
"CA_Clancy_Gordon_1912","142","Clancy","Gordon-Drummond","m","11may1912","16feb1996","Semans, Saskatchewan, Canada","Q16011178","Gordon_Drummond_Clancy",NA,NA,NA,TRUE,FALSE,"Progressive Conservative Party","Yorkton","pharmacist",NA
"CA_Hopkins_Edward_1854","145","Hopkins","Edward-Nicholas","m","03oct1854","14jul1935","Brownsville, Canada West","Q5344620","Edward_Nicholas_Hopkins",NA,NA,NA,TRUE,FALSE,"Progressive","Moose Jaw","manufacturer, farmer",NA
"CA_Wightman_William_1929","149","Wightman","William-Hannum","m","23apr1929","28feb2017","Montreal, Quebec, Canada","Q8020347","William_Wightman_(Canadian_politician)",NA,NA,NA,TRUE,FALSE,"Progressive Conservative Party","Scarborough West","industrial relations officer",NA
"CA_Flynn_Patrick_1921","152","Flynn","Patrick-Joseph","m","08sep1921","09jun1996","Rathcormac, County Cork, Ireland","Q7146509","Patrick_Flynn_(Canadian_politician)",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","Kitchener","radiographer, public relations officer, management consultant",NA
"CA_Dyment_Albert_1869","155","Dyment","Albert-Edward","m","23feb1869","12may1944","Lynden, Ontario, Canada","Q4710057","Albert_Dyment",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","Algoma","lumber merchant, stockbroker",NA
"CA_Tripp_Jesse_1883","159","Tripp","Jesse-Pickard","m","07may1883","06sep1971","Forest, Ontario, Canada","Q16007153","Jesse_Pickard_Tripp",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","Assiniboia","pharmacist, athlete",NA
"CA_Roddick_Thomas_1846","170","Roddick","Thomas-George","m","31jul1846","20feb1923","Harbour Grace, Newfoundland, United Kingdom","Q3525153","Thomas_George_Roddick","Thomas_George_Roddick",NA,NA,TRUE,FALSE,"Conservative (1867-1942)","St. Antoine","professor, physician, dean",NA
"CA_Dickie_Charles_1859","182","Dickie","Charles-Herbert","m","14sep1859","16sep1947","Beachville, Canada West","Q5076854","Charles_Dickie","Charles_Dickie",NA,NA,TRUE,FALSE,"Conservative (1867-1942)","Nanaimo","miner, lumberman, railway employee",NA
"CA_Ross_James_1893","187","Ross","James-Arthur","m","08dec1893","01apr1958","Lyleton, Manitoba, Canada","Q6104633","J._Arthur_Ross",NA,NA,NA,TRUE,FALSE,"Progressive Conservative Party; National Government","Souris","farmer",NA
"CA_Geoffrion_Christophe_1843","197","Geoffrion","Christophe-Alphonse","m","23nov1843","18jul1899","Varennes, Canada East","Q2966073","Christophe-Alphonse_Geoffrion","Christophe_Alphonse_Geoffrion",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Verchères","lawyer",NA
"CA_Sherman_Louis_1926","208","Sherman","Louis-Ralph","m","24dec1926","09jan2015","Québec, Quebec, Canada","Q4983941","Bud_Sherman",NA,NA,NA,TRUE,FALSE,"Progressive Conservative Party","Winnipeg South","broadcaster, newspaper editor, journalist",NA
"CA_Casault_Louis_1823","219","Casault","Louis-Napoleon","m","10jul1823","18may1908","Saint-Thomas-de-Montmagny, Lower Canada","Q3260760","Louis-Napoléon_Casault","Louis-Napoléon_Casault",NA,NA,TRUE,FALSE,"Conservative (1867-1942)","Bellechasse","professor, lawyer",NA
"CA_Comartin_Joseph_1947","222","Comartin","Joseph-John","m","26dec1947",NA,"Stoney Point, Ontario, Canada","Q3180028","Joe_Comartin","Joe_Comartin","joecomartin",NA,TRUE,FALSE,"New Democratic Party","Windsor--St. Clair","lawyer, managing director, diplomat",NA
"CA_McCulloch_Henry_1877","237","McCulloch","Henry-Byron","m","24jul1877","05may1962","Lower Stewiacke, Nova Scotia, Canada","Q5718953","Henry_Byron_McCulloch",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","Pictou","merchant",NA
"CA_Scott_William_1921","238","Scott","William-C","m","06oct1921","17apr1998","Kinmount, Ontario, Canada","Q8006402","William_C._Scott","William_C._Scott",NA,NA,TRUE,FALSE,"Progressive Conservative Party","Victoria","merchant",NA
"CA_Desjardins_Alphonse_1841","239","Desjardins","Alphonse","m","06may1841","04jun1912","Terrebonne, Canada East","Q2839781","Alphonse_Desjardins_(politician)","Alphonse_Desjardins_(homme_politique)",NA,NA,TRUE,TRUE,"Conservative (1867-1942); Independent Conservative","Hochelaga","editor, lawyer",NA
"CA_Kidd_Edward_1849","240","Kidd","Edward","m","09sep1849","16sep1912","Oxford Township, Canada West","Q5343932","Edward_Kidd",NA,NA,NA,TRUE,FALSE,"Conservative (1867-1942)","Carleton","farmer, cheese maker",NA
"CA_Poulin_Raoul_1900","244","Poulin","Raoul","m","08feb1900","23oct1975","Saint-Martin, Quebec, Canada","Q3419249","Raoul_Poulin","Raoul_Poulin",NA,NA,TRUE,FALSE,"Independent","Beauce","physician",NA
"CA_DeBellefeuille_Claude_1963","249","DeBellefeuille","Claude","f","13dec1963",NA,"Salaberry-de-Valleyfield, Quebec, Canada","Q2977252","Claude_DeBellefeuille","Claude_DeBellefeuille",NA,NA,TRUE,FALSE,"Bloc Québécois","Beauharnois--Salaberry","social worker","French"
"CA_Nadeau_Richard_1959","254","Nadeau","Richard","m","05apr1959",NA,"Hawkesbury, Ontario, Canada","Q3431065","Richard_Nadeau","Richard_Nadeau",NA,NA,TRUE,FALSE,"Bloc Québécois","Gatineau","teacher",NA
"CA_Stanfield_John_1868","256","Stanfield","John","m","18may1868","22jan1934","Charlottetown, Prince Edward Island, Canada","Q15980338","John_Stanfield",NA,NA,NA,TRUE,TRUE,"Conservative (1867-1942)","Colchester","industrialist",NA
"CA_Lesage_Charles_1843","261","Lesage","Charles-Alexander","m","25feb1843","15may1893","Saint-Grégoire-le-Grand, Canada East","Q2958372","Charles_Alexander_Lesage","Charles_Alexander_Lesage",NA,NA,TRUE,FALSE,"Conservative (1867-1942)","Dorchester","physician",NA
"CA_Young_Newton_1892","264","Young","Newton-Manley","m","02jun1892","17dec1963","Barrie, Ontario, Canada","Q16003091","Newton_Manley_Young",NA,NA,NA,TRUE,FALSE,"Conservative (1867-1942)","Toronto Northeast","barrister",NA
"CA_Horsey_Edward_1867","267","Horsey","Edward-Henry","m","07mar1867","23jul1902","Ottawa, Ontario, Canada","Q5343416","Edward_Henry_Horsey",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","Grey North","physician",NA
"CA_Plumb_Josiah_1816","271","Plumb","Josiah-Burr","m","25mar1816","12mar1888","East Haven, Connecticut, United States","Q3186040","Josiah_Burr_Plumb","Josiah_Burr_Plumb",NA,NA,TRUE,TRUE,"Conservative (1867-1942)","Niagara","bank manager",NA
"CA_Macdonald_Hugh_1850","273","Macdonald","Hugh-John","m","13mar1850","29mar1929","Kingston, Canada West","Q541433","Hugh_John_Macdonald","Hugh_John_Macdonald",NA,NA,TRUE,FALSE,"Conservative (1867-1942); Liberal-Conservative","Winnipeg","lawyer",NA
"CA_Clark_Walter_1936","278","Clark","Walter-Leland-Rutherford","m","16dec1936","10aug2008","Davidson, Saskatchewan, Canada","Q6513299","Lee_Clark_(politician)",NA,NA,NA,TRUE,FALSE,"Progressive Conservative Party","Brandon--Souris","professor",NA
"CA_McLean_John_1846","284","McLean","John","m","24sep1846","20feb1936","Mount Herbert, Prince Edward Island, Canada","Q6248068","John_McLean_(Canadian_politician)",NA,NA,NA,TRUE,TRUE,"Conservative (1867-1942)","King's County","merchant, teacher, clerk",NA
"CA_Major_Charles_1851","286","Major","Charles-Beautron","m","18mar1851","15may1924","Sainte-Scholastique, Canada East","Q2958512","Charles_Beautron_Major","Charles_Beautron_Major",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Labelle","lawyer",NA
"CA_Fontaine_Joseph_1892","287","Fontaine","Joseph-Theophile-Adelard","m","30nov1892","21nov1967","Saint-Thomas d'Aquin, Quebec, Canada","Q2825454","Adélard_Fontaine","Adélard_Fontaine",NA,NA,TRUE,FALSE,"Liberal Party of Canada","St. Hyacinthe--Rouville","lawyer",NA
"CA_Wappel_Thomas_1950","290","Wappel","Thomas-William","m","09feb1950",NA,"Toronto, Ontario, Canada","Q3530918","Tom_Wappel","Tom_Wappel",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Scarborough West","barrister and solicitor, lawyer",NA
"CA_Stork_Alfred_1871","294","Stork","Alfred","m","11apr1871","16mar1945","Bolton, Ontario, Canada","Q4723482","Alfred_Stork","Alfred_Stork",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Skeena","merchant",NA
"CA_Chretien_Joseph_1934","306","Chretien","Joseph-Jacques-Jean","m","11jan1934",NA,"Shawinigan, Quebec, Canada","Q128543","Jean_Chrétien","Jean_Chrétien",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Saint-Maurice--Laflèche","lawyer",NA
"CA_Otto_Steven_1921","310","Otto","Steven","m","25dec1921","16jan1989","Poland","Q7613523","Steve_Otto",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","York East","lawyer, businessman",NA
"CA_Breithaupt_Louis_1890","311","Breithaupt","Louis-Orville","m","28oct1890","06dec1960","Berlin (Kitchener), Ontario, Canada","Q6687919","Louis_Orville_Breithaupt",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","Waterloo North","manufacturer",NA
"CA_Irvine_David_1831","318","Irvine","David","m","26nov1831","28may1924","Crimea, Ireland","Q3018131","David_Irvine_(Canadian_politician)","David_Irvine",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Carleton","farmer",NA
"CA_Scott_Geoffrey_1938","321","Scott","Geoffrey-Douglas","m","02mar1938","05aug2021","Ottawa, Ontario, Canada","Q5534887","Geoffrey_Scott_(politician)",NA,NA,NA,TRUE,FALSE,"Progressive Conservative Party","Hamilton--Wentworth","broadcaster, journalist",NA
"CA_Boshcoff_Ken_1949","323","Boshcoff","Ken","m","20jun1949",NA,"Fort William, Ontario, Canada","Q3195016","Ken_Boshcoff","Ken_Boshcoff",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Thunder Bay--Rainy River","insurance executive, lecturer, business advisor, marketing manager",NA
"CA_Moncrieff_George_1842","326","Moncrieff","George","m","1842","28mar1901","Musselburgh, Scotland","Q5542561","George_Moncrieff",NA,NA,NA,TRUE,FALSE,"Conservative (1867-1942)","Lambton East","lawyer",NA
"CA_Fennell_Thomas_1928","327","Fennell","Thomas-Scott","m","09jan1928","27jan2012","Toronto, Ontario, Canada","Q7789556","Thomas_Fennell_(politician)","Thomas_Fennell_(homme_politique)",NA,NA,TRUE,FALSE,"Progressive Conservative Party","Ontario","insurance executive, businessman",NA
"CA_McGrath_James_1932","345","McGrath","James-Aloysius","m","11jan1932","28feb2017","Buchans, Newfoundland","Q6139350","James_McGrath_(Canadian_politician)",NA,NA,NA,TRUE,FALSE,"Progressive Conservative Party","St. John's East","advertising salesman, sales executive, broadcaster, sales agent, advertising executive",NA
"CA_Worthington_Arthur_1862","348","Worthington","Arthur-Norreys","m","17feb1862","07feb1912","Sherbrooke, Canada East","Q2865271","Arthur_Norreys_Worthington","Arthur_Norreys_Worthington",NA,NA,TRUE,FALSE,"Conservative (1867-1942)","Sherbrooke (Town of)","physician, surgeon",NA
"CA_Emmerson_Henry_1853","349","Emmerson","Henry-Robert","m","25sep1853","09jul1914","Maugerville, New Brunswick, Canada","Q3133041","Henry_Emmerson","Henry_Robert_Emmerson",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Westmorland","lawyer",NA
"CA_Tremblay_Benoit_1948","352","Tremblay","Benoit","m","16mar1948",NA,"Val-Brillant, Quebec, Canada","Q2896662","Benoît_Tremblay","Benoît_Tremblay",NA,NA,TRUE,FALSE,"Bloc Québécois; Independent; Progressive Conservative Party","Rosemont","economist, administrator",NA
"CA_Tobin_Stanley_1871","355","Tobin","Stanley-Gilbert","m","19jan1871","12jun1948","Bridgewater, Nova Scotia, Canada","Q7599996","Stanley_Tobin",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","Wetaskiwin","farmer, businessman, teacher",NA
"CA_Shields_John_1929","361","Shields","John-Wendele","m","25dec1929","29nov2004","Grande Prairie, Alberta, Canada","Q6115145","Jack_Shields",NA,NA,NA,TRUE,FALSE,"Progressive Conservative Party","Athabasca","businessman, teacher",NA
"CA_Harrison_Robert_1833","364","Harrison","Robert-Alexander","m","03aug1833","01nov1878","Montreal, Lower Canada","Q7341430","Robert_Alexander_Harrison",NA,NA,NA,TRUE,FALSE,"Conservative (1867-1942)","Toronto West","author, lawyer",NA
"CA_Schulz_Jacob_1901","366","Schulz","Jacob","m","12oct1901","14aug1983","Friedensthal, Bessarabia, Russia","Q6119248","Jacob_Schulz",NA,NA,NA,TRUE,FALSE,"Co-operative Commonwealth Federation","Springfield","farmer",NA
"CA_Jourdenais_Fernand_1933","367","Jourdenais","Fernand","m","25mar1933","29feb2016","Montreal, Quebec, Canada","Q3069212","Fernand_Jourdenais","Fernand_Jourdenais",NA,NA,TRUE,FALSE,"Progressive Conservative Party","La Prairie","trader, businessman",NA
"CA_Bourdages_Rodrigue_1923","368","Bourdages","Rodrigue","m","22oct1923","12oct1997","Halifax, Nova Scotia, Canada","Q3438488","Rodrigue_Bourdages","Rodrigue_Bourdages",NA,NA,TRUE,FALSE,"Progressive Conservative Party","Laval","contractor",NA
"CA_Brien_Pierre_1970","370","Brien","Pierre","m","22jun1970",NA,"Ville-Marie, Quebec, Canada","Q726586","Pierre_Brien","Pierre_Brien",NA,NA,TRUE,FALSE,"Independent; Bloc Québécois","Témiscamingue","economist, administrator",NA
"CA_Fisher_John_1855","380","Fisher","John-Henry","m","03apr1855","01dec1933","Paris, Canada West","Q16029181","John_Henry_Fisher","John_Henry_Fisher",NA,NA,TRUE,TRUE,"Conservative (1867-1942)","Brant","merchant",NA
"CA_Cohen_Elizabeth_1948","397","Cohen","Elizabeth-Shaughnessy","f","11feb1948","09dec1998","London, Ontario, Canada","Q7490748","Shaughnessy_Cohen",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada","Windsor--St. Clair","barrister and solicitor, lawyer",NA
"CA_Wallace_Thomas_1879","402","Wallace","Thomas-George","m","07may1879","20feb1921","Ottawa, Ontario, Canada","Q7789989","Thomas_George_Wallace",NA,NA,NA,TRUE,FALSE,"Unionist; Conservative (1867-1942)","York Centre","merchant, miller",NA
"CA_Weldon_Charles_1830","403","Weldon","Charles-Wesley","m","27feb1830","12jan1896","Richibucto, New Brunswick, Canada","Q2960436","Charles_Wesley_Weldon","Charles_Wesley_Weldon",NA,NA,TRUE,FALSE,"Liberal Party of Canada","St. John (City and County of)","lawyer",NA
"CA_Price_David_1945","404","Price","David","m","02jun1945",NA,"Sherbrooke, Quebec, Canada","Q634326","David_Price_(Canadian_politician)","David_Price_(homme_politique_canadien)",NA,NA,TRUE,FALSE,"Liberal Party of Canada; Progressive Conservative Party","Compton--Stanstead","electrician",NA
"CA_Cameron_Hugh_1836","409","Cameron","Hugh","m","18mar1836","11may1918","Antigonish County, Nova Scotia, Canada","Q5930246","Hugh_Cameron_(politician)",NA,NA,NA,TRUE,FALSE,"Conservative (1867-1942); Liberal-Conservative; Anti-Confederate","Inverness","physician",NA
"CA_Shepherd_Alexander_1946","413","Shepherd","Alexander-James","m","13oct1946",NA,"Toronto, Ontario, Canada","Q4717784","Alex_Shepherd","Alex_Shepherd",NA,NA,TRUE,FALSE,"Liberal Party of Canada","Durham","entrepreneur, chartered accountant, businessman",NA
"CA_Pare_Philippe_1935","416","Pare","Philippe","m","24aug1935",NA,"Montmagny, Quebec, Canada","Q3380503","Philippe_Paré","Philippe_Paré",NA,NA,TRUE,FALSE,"Bloc Québécois","Louis-Hébert","school administrator, school principal, guidance counsellor, teacher",NA
"CA_Hargrave_Herbert_1917","417","Hargrave","Herbert-Thomas","m","30mar1917","24sep1996","Medicine Hat, Alberta, Canada","Q4895103","Bert_Hargrave",NA,NA,NA,TRUE,FALSE,"Progressive Conservative Party","Medicine Hat","rancher",NA
"CA_Frost_Francis_1843","421","Frost","Francis-Theodore","m","21dec1843","25aug1916","Smiths Falls, Canada West","Q5482584","Francis_Theodore_Frost",NA,NA,NA,TRUE,TRUE,"Liberal Party of Canada","Leeds North and Grenville North","manufacturer",NA
"CA_Jacob_Jean_1947","424","Jacob","Jean-Marc","m","18feb1947",NA,"Charlesbourg, Quebec, Canada","Q690250","Jean-Marc_Jacob","Jean-Marc_Jacob",NA,NA,TRUE,FALSE,"Bloc Québécois; Bloc Québécois (Not in Caucus)","Charlesbourg","veterinarian",NA
"CA_Lovitt_John_1832","425","Lovitt","John","m","09oct1832","13apr1908","Yarmouth, Nova Scotia, Canada","Q6245394","John_Lovitt",NA,NA,NA,TRUE,TRUE,"Liberal Party of Canada","Yarmouth","master mariner, shipowner",NA
"CA_Laliberte_Rick_1958","428","Laliberte","Rick","m","13sep1958",NA,"Île-à-la-Crosse, Saskatchewan, Canada","Q7331530","Rick_Laliberte",NA,NA,NA,TRUE,FALSE,"Liberal Party of Canada; New Democratic Party","Churchill River","school administrator",NA
