"pers_id","id_no_storting","last_name","first_name","gender","birth_date","death_date","n_periods","periods_served","first_period","last_period","n_parties","parties_id","parties_name","ever_substitute","county_id","county_name","wikidata_id","wikipedia_no","wikipedia_en"
"NO_Aalberg_Anne-Mari_1951","ACA","Aalberg","Anne-Mari","f","09oct1951",NA,1,"2005-2009","2005-2009","2005-2009",1,"FrP","Fremskrittspartiet",TRUE,"SF","Sogn og Fjordane",NA,NA,NA
"NO_Holm_Anne-Cecilie_1958","ACHO","Holm","Anne Cecilie","f","09jul1958",NA,1,"2017-2021","2017-2021","2017-2021",1,"V","Venstre",TRUE,"NT","Nord-Trøndelag",NA,NA,NA
"NO_Johnsgaard_Anne-Christel_1972","ACJ","Johnsgaard","Anne Christel","f","21feb1972",NA,1,"1997-2001","1997-2001","1997-2001",1,"A","Arbeiderpartiet",TRUE,"He","Hedmark",NA,NA,NA
"NO_Pettersen_Alf-Cato_1917","ACP","Pettersen","Alf Cato","m","11feb1917","12apr1985",1,"1969-73","1969-73","1969-73",1,"H","Høyre",TRUE,"Ro","Rogaland",NA,NA,NA
"NO_Sjaastad_Anders-C_1942","ACS","Sjaastad","Anders C.","m","21feb1942",NA,5,"1981-85; 1985-89; 1989-93; 1993-97; 1997-2001","1981-85","1997-2001",1,"H","Høyre",TRUE,"Os","Oslo","Q4587854","Anders_C._Sjaastad","Anders_C._Sjaastad"
"NO_Doerum_Anneliese_1939","AD","Dørum","Anneliese","f","03oct1939","04nov2000",6,"1977-81; 1981-85; 1985-89; 1989-93; 1993-97; 1997-2001","1977-81","1997-2001",1,"A","Arbeiderpartiet",TRUE,"Ak","Akershus","Q4768971","Anneliese_Dørum","Anneliese_Dørum"
"NO_Dahl_Andre-Oktay_1975","ADA","Dahl","André Oktay","m","07jul1975",NA,4,"1997-2001; 2001-2005; 2005-2009; 2009-2013","1997-2001","2009-2013",1,"H","Høyre",TRUE,"Ak","Akershus","Q2044640","André_Oktay_Dahl","André_Oktay_Dahl"
"NO_Lassen-Urdahl_Ada_2000","ADALAU","Lassen-Urdahl","Ada","f","12sep2000",NA,1,"2025-2029","2025-2029","2025-2029",1,"A","Arbeiderpartiet",TRUE,"Ve","Vestfold",NA,NA,NA
"NO_Berntsen_Anders_1898","ADBR","Berntsen","Anders","m","07jun1898","07dec1977",1,"1945-49","1945-49","1945-49",1,"H","Høyre",TRUE,"AA","Aust-Agder",NA,NA,NA
"NO_Mykland_Adelheid-Frost_1972","ADEMYK","Mykland","Adelheid Frost","f","14dec1972",NA,2,"2021-2025; 2025-2029","2021-2025","2025-2029",1,"A","Arbeiderpartiet",TRUE,"VA","Vest-Agder",NA,NA,NA
"NO_Kristoffersen_Adolf_1891","ADKR","Kristoffersen","Adolf","m","23sep1891","01jul1964",1,"1945-49","1945-49","1945-49",1,"A","Arbeiderpartiet",TRUE,"KiV","Kjøpstedene i Vestfold fylke (Holmestrand, Horten, Larvik, Sandefjord, Stavern, Tønsberg)","Q4684127","NA","Adolf_Kristoffersen"
"NO_Loevsjoe_Adrian-Ness_1990","ADL","Løvsjø","Adrian Ness","m","03jul1990",NA,1,"2017-2021","2017-2021","2017-2021",1,"FrP","Fremskrittspartiet",TRUE,"Te","Telemark",NA,NA,NA
"NO_Tollefsen_Adrian-Wilhelm-Kjoeloe_1987","ADRTOL","Tollefsen","Adrian Wilhelm Kjølø","m","04oct1987",NA,1,"2021-2025","2021-2025","2021-2025",1,"H","Høyre",TRUE,"Bu","Buskerud","Q17112523","Adrian_Tollefsen","NA"
"NO_Stoeylen_Andre_1968","ADSY","Støylen","André","m","09apr1968",NA,1,"1989-93","1989-93","1989-93",1,"H","Høyre",TRUE,"MR","Møre og Romsdal","Q4760074","André_Støylen","André_Støylen"
"NO_Duesund_Aase-Gunhild-Woie_1944","ADV","Duesund","Åse Gunhild Woie","f","18apr1944",NA,3,"1997-2001; 2001-2005; 2005-2009","1997-2001","2005-2009",1,"KrF","Kristelig Folkeparti",FALSE,"AA","Aust-Agder","Q1771172","Åse_Gunhild_Woie_Duesund","Åse_Duesund"
"NO_Oeynes_Arne-Dagfinn_1947","ADØ","Øynes","Arne Dagfinn","m","01nov1947",NA,1,"1997-2001","1997-2001","1997-2001",1,"KrF","Kristelig Folkeparti",TRUE,"He","Hedmark",NA,NA,NA
"NO_Elseth_Anette-Carnarius_1973","AE","Elseth","Anette Carnarius","f","30jul1973",NA,8,"1997-2001; 2001-2005; 2005-2009; 2009-2013; 2013-2017; 2017-2021; 2021-2025; 2025-2029","1997-2001","2025-2029",1,"FrP","Fremskrittspartiet",TRUE,"Ak","Akershus","Q23042751","Anette_Carnarius_Elseth","Anette_Carnarius_Elseth"
"NO_Angell_Aud-Eline_1953","AEA","Angell","Aud Eline","f","12nov1953",NA,1,"1981-85","1981-85","1981-85",1,"KrF","Kristelig Folkeparti",TRUE,"No","Nordland",NA,NA,NA
"NO_Eidsaa-jr_Andreas-E_1970","AEE","Eidsaa jr.","Andreas E.","m","17nov1970",NA,1,"1993-97","1993-97","1993-97",1,"KrF","Kristelig Folkeparti",TRUE,"Ro","Rogaland","Q4755411","Andreas_E._Eidsaa_jr.","Andreas_E._Eidsaa"
"NO_Ekeland_Arne-Egil_1930","AEEK","Ekeland","Arne Egil","m","18oct1930","22mar2012",2,"1961-65; 1969-73","1961-65","1969-73",1,"A","Arbeiderpartiet",TRUE,"Ho","Hordaland",NA,NA,NA
"NO_Heggehagen_Elisabeth_1974","AEH","Heggehagen","Elisabeth","f","16oct1974",NA,1,"1997-2001","1997-2001","1997-2001",1,"KrF","Kristelig Folkeparti",TRUE,"Op","Oppland",NA,NA,NA
"NO_Eikebraaten_Anne-Kristine_1961","AEI","Eikebråten","Anne Kristine","f","19dec1961",NA,1,"2009-2013","2009-2013","2009-2013",1,"H","Høyre",TRUE,"Ak","Akershus",NA,NA,NA
"NO_Karlsen_Alf-Eugen_1894","AEK","Karlsen","Alf Eugen","m","23feb1894","14apr1975",2,"1945-49; 1950-53","1945-49","1950-53",1,"A","Arbeiderpartiet",TRUE,"NT","Nord-Trøndelag","Q17119846","Alf_Karlsen","NA"
"NO_Enger_Anne_1949","AEL","Enger","Anne","f","09dec1949",NA,4,"1985-89; 1989-93; 1993-97; 1997-2001","1985-89","1997-2001",1,"Sp","Senterpartiet",FALSE,"Ak","Akershus","Q463758","Anne_Enger","Anne_Enger"
"NO_Lerche_Adele_1917","AELE","Lerche","Adèle","f","21jul1917","07nov2015",1,"1973-77","1973-77","1973-77",1,"H","Høyre",TRUE,"Os","Oslo","Q121096000","Adele_Lerche","NA"
"NO_Mathiesen_Einar_1939","AEM","Mathiesen","Einar","m","18jan1939","02apr2024",1,"1973-77","1973-77","1973-77",1,"V","Venstre",TRUE,"Te","Telemark",NA,NA,NA
"NO_Naper_Anne-Elisabeth_1975","AEN","Naper","Anne Elisabeth","f","21may1975",NA,2,"1997-2001; 2009-2013","1997-2001","2009-2013",1,"KrF","Kristelig Folkeparti",TRUE,"Te","Telemark",NA,NA,NA
"NO_Engstad_Ann-Kristin_1982","AENG","Engstad","Ann-Kristin","f","05apr1982",NA,2,"2005-2009; 2009-2013","2005-2009","2009-2013",1,"A","Arbeiderpartiet",TRUE,"Fi","Finnmark","Q4766174","Ann-Kristin_Engstad","Ann-Kristin_Engstad"
"NO_Simonsen_Alfred_1925","AES","Simonsen","Alfred","m","04aug1925","01jan2011",1,"1958-61","1958-61","1958-61",1,"H","Høyre",TRUE,"Os","Oslo",NA,NA,NA
"NO_Sortevik_Arne_1947","AESO","Sortevik","Arne","m","12mar1947",NA,4,"1989-93; 2001-2005; 2005-2009; 2009-2013","1989-93","2009-2013",1,"FrP","Fremskrittspartiet",TRUE,"Ho","Hordaland","Q4794675","Arne_Sortevik","Arne_Sortevik"
"NO_Sunde_Arne_1936","AESU","Sunde","Arne","m","11sep1936",NA,1,"1969-73","1969-73","1969-73",1,"H","Høyre",TRUE,"SF","Sogn og Fjordane",NA,NA,NA
"NO_Vindheim_Eldbjoerg_1927","AEV","Vindheim","Eldbjørg","f","07sep1927",NA,1,"1977-81","1977-81","1977-81",1,"V","Venstre",TRUE,"VA","Vest-Agder",NA,NA,NA
"NO_Folkestad_Aud_1953","AF","Folkestad","Aud","f","10feb1953",NA,1,"1997-2001","1997-2001","1997-2001",1,"V","Venstre",TRUE,"MR","Møre og Romsdal","Q4819627","NA","Aud_Folkestad"
"NO_Andersen_Alexander-Fosse_1983","AFA","Andersen","Alexander Fosse","m","19oct1983",NA,3,"2005-2009; 2013-2017; 2017-2021","2005-2009","2017-2021",1,"Sp","Senterpartiet",TRUE,"Ho","Hordaland","Q44486095","NA","NA"
"NO_Folkedal_Arna_1909","AFOL","Folkedal","Arna","f","05jun1909","22mar1998",1,"1965-69","1965-69","1965-69",1,"H","Høyre",TRUE,"Ho","Hordaland",NA,NA,NA
"NO_Selsvold_Astrid-F_1965","AFS","Selsvold","Astrid F.","f","25jan1965",NA,1,"2013-2017","2013-2017","2013-2017",1,"A","Arbeiderpartiet",TRUE,"Ho","Hordaland","Q11212006","Astrid_Farestveit_Selsvold","NA"
"NO_Gabrielsen_Ansgar_1955","AG","Gabrielsen","Ansgar","m","21may1955",NA,3,"1993-97; 1997-2001; 2001-2005","1993-97","2001-2005",1,"H","Høyre",FALSE,"VA","Vest-Agder","Q323721","Ansgar_Gabrielsen","Ansgar_Gabrielsen"
"NO_Amundsen_Agnes-Bergliot_1888","AGAM","Amundsen","Agnes Bergliot","f","24aug1888","07apr1958",1,"1945-49","1945-49","1945-49",1,"H","Høyre",TRUE,"Ve","Vestfold",NA,NA,NA
"NO_Andersen_Anne-Grethe-Beck_1944","AGAN","Andersen","Anne Grethe Beck","f","28may1944",NA,1,"1989-93","1989-93","1989-93",1,"A","Arbeiderpartiet",TRUE,"ST","Sør-Trøndelag",NA,NA,NA
"NO_Bakkevig_Agnes_1910","AGBA","Bakkevig","Agnes","f","07mar1910","03feb1992",3,"1961-65; 1965-69; 1969-73","1961-65","1969-73",1,"H","Høyre",TRUE,"Be","Bergen","Q37946862","Agnes_Bakkevig","Agnes_Bakkevig"
"NO_Bua_Agnes_1942","AGBU","Bua","Agnes","f","05feb1942",NA,2,"1981-85; 1985-89","1981-85","1985-89",1,"A","Arbeiderpartiet",TRUE,"VA","Vest-Agder",NA,NA,NA
"NO_Erlandsen_Anne-Grethe_1956","AGE","Erlandsen","Anne Grethe","f","08oct1956",NA,2,"1989-93; 1997-2001","1989-93","1997-2001",1,"H","Høyre",TRUE,"Øs","Østfold","Q15260774","Anne_Grethe_Erlandsen","NA"
"NO_Austheim_Aage_1983","AGEA","Austheim","Åge","m","20nov1983",NA,3,"2005-2009; 2009-2013; 2013-2017","2005-2009","2013-2017",1,"FrP","Fremskrittspartiet",TRUE,"MR","Møre og Romsdal","Q12052398","Åge_Austheim","Åge_Austheim"
"NO_Ervik_Anne-Gro_1959","AGER","Ervik","Anne Gro","f","19dec1959",NA,1,"1981-85","1981-85","1981-85",1,"A","Arbeiderpartiet",TRUE,"Ak","Akershus",NA,NA,NA
"NO_Starheim_Aage_1946","AGES","Starheim","Åge","m","23may1946",NA,2,"2005-2009; 2009-2013","2005-2009","2009-2013",1,"FrP","Fremskrittspartiet",FALSE,"SF","Sogn og Fjordane","Q6515205","Åge_Starheim","Åge_Starheim"
"NO_Gjelsvik_Agvald_1907","AGGJ","Gjelsvik","Agvald","m","14aug1907","14apr1976",1,"1965-69","1965-69","1965-69",1,"A","Arbeiderpartiet",TRUE,"Op","Oppland","Q16078926","NA","Agvald_Gjelsvik"
"NO_Haugland_Anna_1925","AGH","Haugland","Anna","f","24jun1925","19mar2012",1,"1977-81","1977-81","1977-81",1,"KrF","Kristelig Folkeparti",TRUE,"Op","Oppland",NA,NA,NA
"NO_Hauan_Anne-Grethe_1966","AGHA","Hauan","Anne Grethe","f","12aug1966",NA,3,"2017-2021; 2021-2025; 2025-2029","2017-2021","2025-2029",1,"FrP","Fremskrittspartiet",TRUE,"Ve","Vestfold","Q136193472","Anne_Grethe_Hauan","Anne_Grethe_Hauan"
"NO_Gilde_Anita_1976","AGI","Gilde","Anita","f","27oct1976",NA,1,"2017-2021","2017-2021","2017-2021",1,"FrP","Fremskrittspartiet",TRUE,"ST","Sør-Trøndelag",NA,NA,NA
"NO_Gjervan_Arild_1945","AGJ","Gjervan","Arild","m","11oct1945",NA,1,"1997-2001","1997-2001","1997-2001",1,"H","Høyre",TRUE,"Ak","Akershus",NA,NA,NA
"NO_Joerum_Asgeir_1903","AGJR","Jørum","Asgeir","m","12nov1903","04feb1994",1,"1945-49","1945-49","1945-49",1,"A","Arbeiderpartiet",TRUE,"ST","Sør-Trøndelag",NA,NA,NA
"NO_Kvitberg_Anne-Grethe-Fremgaard_1962","AGK","Kvitberg","Anne Grethe Fremgaard","f","12mar1962",NA,2,"2001-2005; 2005-2009","2001-2005","2005-2009",1,"H","Høyre",TRUE,"Op","Oppland",NA,NA,NA
"NO_Kvaale_Agnes_1912","AGKV","Kvåle","Agnes","f","06sep1912","12jan2009",1,"1969-73","1969-73","1969-73",1,"Sp","Senterpartiet",TRUE,"Ho","Hordaland",NA,NA,NA
