sep=,
"pers_id","id_us_bioguide","last_name","first_name","gender","birth_date","death_date","birth_place_raw","wikidata_id","wikipedia_en","twitter_screen_name","twitter_id"
"US_Burr_Aaron_1756","B001133","Burr","Aaron","m","06feb1756",NA,NA,"Q179090","Aaron Burr",NA,NA
"US_Cabot_George_1752","C000009","Cabot","George","m","03dec1752",NA,NA,"Q382723","George Cabot",NA,NA
"US_Carroll_Charles_1737","C000185","Carroll","Charles","m","19sep1737",NA,NA,"Q466009","Charles Carroll of Carrollton",NA,NA
"US_Ellsworth_Oliver_1745","E000147","Ellsworth","Oliver","m","29apr1745",NA,NA,"Q515858","Oliver Ellsworth",NA,NA
"US_Gerry_Elbridge_1744","G000139","Gerry","Elbridge","m","17jul1744",NA,NA,"Q219797","Elbridge Gerry",NA,NA
"US_Huger_Daniel_1742","H000916","Huger","Daniel","m","20feb1742",NA,NA,"Q1161182","Daniel Huger",NA,NA
"US_Jacobs_Israel_1726","J000036","Jacobs","Israel","m","09jun1726",NA,NA,"Q6087007","Israel Jacobs",NA,NA
"US_Key_Philip_9999","K000158","Key","Philip","m",NA,NA,NA,"Q219450","Philip Key (American politician)",NA,NA
"US_Read_George_1733","R000091","Read","George","m","18sep1733",NA,NA,"Q471303","George Read (American politician, born 1733)",NA,NA
"US_Robinson_Moses_1741","R000350","Robinson","Moses","m","22mar1741",NA,NA,"Q888648","Moses Robinson",NA,NA
"US_Schoonmaker_Cornelius_9999","S000140","Schoonmaker","Cornelius","m",NA,NA,NA,"Q653373","Cornelius C. Schoonmaker",NA,NA
"US_Seney_Joshua_1756","S000242","Seney","Joshua","m","04mar1756",NA,NA,"Q501799","Joshua Seney",NA,NA
"US_Sheredine_Upton_9999","S000340","Sheredine","Upton","m",NA,NA,NA,"Q2119992","Upton Sheredine",NA,NA
"US_Sherman_Roger_1721","S000349","Sherman","Roger","m","19apr1721",NA,NA,"Q354721","Roger Sherman",NA,NA
"US_Silvester_Peter_9999","S000412","Silvester","Peter","m",NA,NA,NA,"Q2078354","Peter Silvester (1734–1808)",NA,NA
"US_Steele_John_1764","S000832","Steele","John","m","16nov1764",NA,NA,"Q1701809","John Steele (North Carolina politician)",NA,NA
"US_Sterett_Samuel_9999","S000866","Sterett","Samuel","m",NA,NA,NA,"Q1203736","Samuel Sterett",NA,NA
"US_Sturges_Jonathan_1740","S001047","Sturges","Jonathan","m","23aug1740",NA,NA,"Q1703315","Jonathan Sturges",NA,NA
"US_Tucker_Thomas_1745","T000403","Tucker","Thomas","m","25jun1745",NA,NA,"Q464466","Thomas Tudor Tucker",NA,NA
"US_Wayne_Anthony_1745","W000216","Wayne","Anthony","m","01jan1745",NA,NA,"Q574116","Anthony Wayne",NA,NA
"US_White_Alexander_9999","W000352","White","Alexander","m",NA,NA,NA,"Q2643271","Alexander White (Virginia politician)",NA,NA
"US_Williamson_Hugh_1735","W000551","Williamson","Hugh","m","05dec1735",NA,NA,"Q663151","Hugh Williamson",NA,NA
"US_Willis_Francis_1745","W000560","Willis","Francis","m","05jan1745",NA,NA,"Q1361138","Francis Willis (politician)",NA,NA
"US_Edwards_John_9999-1","E000075","Edwards","John","m",NA,NA,NA,"Q432795","John Edwards (Kentucky politician)",NA,NA
"US_Potts_Richard_1753","P000473","Potts","Richard","m","19jul1753",NA,NA,"Q6054920","Richard Potts",NA,NA
"US_Armstrong_James_1748","A000280","Armstrong","James","m","29aug1748",NA,NA,"Q6128836","James Armstrong (Pennsylvania politician)",NA,NA
"US_Beatty_John_1749","B000282","Beatty","John","m","10dec1749",NA,NA,"Q1413402","John Beatty (New Jersey politician)",NA,NA
"US_Boudinot_Elias_1740","B000661","Boudinot","Elias","m","02may1740",NA,NA,"Q51753","Elias Boudinot",NA,NA
"US_Bourne_Shearjashub_1746","B000671","Bourne","Shearjashub","m","14jun1746",NA,NA,"Q1535213","Shearjashub Bourne",NA,NA
"US_Bradford_William_1729","B000739","Bradford","William","m","04nov1729",NA,NA,"Q932530","William Bradford (Rhode Island politician)",NA,NA
"US_Cadwalader_Lambert_9999","C000012","Cadwalader","Lambert","m",NA,NA,NA,"Q1119528","Lambert Cadwalader (representative)",NA,NA
"US_Carnes_Thomas_9999","C000163","Carnes","Thomas","m",NA,NA,NA,"Q1526302","Thomas P. Carnes",NA,NA
"US_Clark_Abraham_1726","C000418","Clark","Abraham","m","15feb1726",NA,NA,"Q329870","Abraham Clark",NA,NA
"US_Cobb_David_1748","C000545","Cobb","David","m","14sep1748",NA,NA,"Q1174031","David Cobb (Massachusetts politician)",NA,NA
"US_Coffin_Peleg_1756","C000591","Coffin","Peleg","m","03nov1756",NA,NA,"Q2067932","Peleg Coffin Jr.",NA,NA
"US_Dawson_William_9999","D000157","Dawson","William","m",NA,NA,NA,"Q2579535","William Johnston Dawson",NA,NA
"US_Edwards_Benjamin_1753","E000060","Edwards","Benjamin","m","12aug1753",NA,NA,"Q868544","Benjamin Edwards (Maryland politician)",NA,NA
"US_Fitzsimons_Thomas_9999","F000178","Fitzsimons","Thomas","m",NA,NA,NA,"Q671958","Thomas Fitzsimons",NA,NA
"US_Forrest_Uriah_9999","F000282","Forrest","Uriah","m",NA,NA,NA,"Q868551","Uriah Forrest",NA,NA
"US_Frelinghuysen_Frederick_1753","F000368","Frelinghuysen","Frederick","m","13apr1753",NA,NA,"Q5497813","Frederick Frelinghuysen (general)",NA,NA
"US_Gillon_Alexander_9999","G000211","Gillon","Alexander","m",NA,NA,NA,"Q2642191","Alexander Gillon",NA,NA
"US_Gordon_James_1739","G000311","Gordon","James","m","31oct1739",NA,NA,"Q868475","James Gordon (New York politician)",NA,NA
"US_Griffin_Samuel_9999","G000466","Griffin","Samuel","m",NA,NA,NA,"Q1571504","Samuel Griffin",NA,NA
"US_Holten_Samuel_1738","H000750","Holten","Samuel","m","09jun1738",NA,NA,"Q1716923","Samuel Holten",NA,NA
"US_Irvine_William_1741","I000035","Irvine","William","m","03nov1741",NA,NA,"Q3568725","William Irvine (general)",NA,NA
"US_Learned_Amasa_1750","L000178","Learned","Amasa","m","15nov1750",NA,NA,"Q455350","Amasa Learned",NA,NA
"US_Lee_Richard_1761","L000200","Lee","Richard","m","20jan1761",NA,NA,"Q2149095","Richard Bland Lee",NA,NA
"US_Martin_Alexander_9999","M000166","Martin","Alexander","m",NA,NA,NA,"Q642264","Alexander Martin",NA,NA
"US_McDowell_Joseph_1758","M000424","McDowell","Joseph","m","25feb1758",NA,NA,"Q1707603","Joseph ""Pleasant Gardens"" McDowell",NA,NA
"US_Mebane_Alexander_1744","M000622","Mebane","Alexander","m","26nov1744",NA,NA,"Q2545396","Alexander Mebane",NA,NA
"US_Mercer_John_1759","M000645","Mercer","John","m","17may1759",NA,NA,"Q880672","John Francis Mercer",NA,NA
"US_Mitchell_Stephen_1743","M000828","Mitchell","Stephen","m","09dec1743",NA,NA,"Q369829","Stephen Mix Mitchell",NA,NA
"US_Montgomery_William_1736","M000873","Montgomery","William","m","03aug1736",NA,NA,"Q8015749","William Montgomery (Pennsylvania soldier)",NA,NA
"US_Neville_Joseph_9999","N000055","Neville","Joseph","m",NA,NA,NA,"Q1707698","Joseph Neville",NA,NA
"US_Niles_Nathaniel_1741","N000109","Niles","Nathaniel","m","03apr1741",NA,NA,"Q1966777","Nathaniel Niles (politician)",NA,NA
"US_Pickens_Andrew_1739","P000320","Pickens","Andrew","m","13sep1739",NA,NA,"Q506733","Andrew Pickens (congressman)",NA,NA
"US_Scott_Thomas_9999","S000186","Scott","Thomas","m",NA,NA,NA,"Q6171054","Thomas Scott (American politician)",NA,NA
"US_Strong_Caleb_1745","S001009","Strong","Caleb","m","09jan1745",NA,NA,"Q546613","Caleb Strong",NA,NA
"US_Talbot_Silas_1751","T000019","Talbot","Silas","m","11jan1751",NA,NA,"Q12410052","Silas Talbot",NA,NA
"US_Tredwell_Thomas_1743","T000361","Tredwell","Thomas","m","06feb1743",NA,NA,"Q2427741","Thomas Tredwell",NA,NA
"US_vanGaasbeck_Peter_1754","V000039","vanGaasbeck","Peter","m","27sep1754",NA,NA,"Q499513","Peter Van Gaasbeck",NA,NA
"US_Vining_John_1758","V000104","Vining","John","m","23dec1758",NA,NA,"Q1700934","John Vining",NA,NA
"US_Wadsworth_Jeremiah_1743","W000013","Wadsworth","Jeremiah","m","12jul1743",NA,NA,"Q1687546","Jeremiah Wadsworth",NA,NA
"US_Walker_Francis_1764","W000051","Walker","Francis","m","22jun1764",NA,NA,"Q82431","Francis Walker (Virginia politician)",NA,NA
"US_Ward_Artemas_1727","W000127","Ward","Artemas","m","26nov1727",NA,NA,"Q321887","Artemas Ward",NA,NA
"US_Watts_John_1749","W000211","Watts","John","m","27aug1749",NA,NA,"Q1702113","John Watts (New York politician)",NA,NA
"US_Williams_Benjamin_1751","W000491","Williams","Benjamin","m","01jan1751",NA,NA,"Q817741","Benjamin Williams",NA,NA
"US_Wingate_Paine_1739","W000633","Wingate","Paine","m","14may1739",NA,NA,"Q1638165","Paine Wingate",NA,NA
"US_Tazewell_Henry_1753","T000107","Tazewell","Henry","m","27nov1753",NA,NA,"Q765041","Henry Tazewell",NA,NA
"US_Walton_George_9999","W000114","Walton","George","m",NA,NA,NA,"Q878512","George Walton",NA,NA
"US_Ames_Fisher_1758","A000174","Ames","Fisher","m","09apr1758",NA,NA,"Q1194576","Fisher Ames",NA,NA
"US_Bingham_William_1752","B000474","Bingham","William","m","08mar1752",NA,NA,"Q2113530","William Bingham",NA,NA
"US_Bloodworth_Timothy_9999","B000563","Bloodworth","Timothy","m",NA,NA,NA,"Q433132","Timothy Bloodworth",NA,NA
"US_Bourne_Benjamin_1755","B000669","Bourne","Benjamin","m","09sep1755",NA,NA,"Q817423","Benjamin Bourne",NA,NA
"US_Buck_Daniel_1753","B001014","Buck","Daniel","m","09nov1753",NA,NA,"Q179529","Daniel Buck",NA,NA
"US_Coles_Isaac_1747","C000624","Coles","Isaac","m","02mar1747",NA,NA,"Q1673374","Isaac Coles",NA,NA
"US_Crabb_Jeremiah_9999","C000848","Crabb","Jeremiah","m",NA,NA,NA,"Q868341","Jeremiah Crabb",NA,NA
"US_Dearborn_Henry_1751","D000178","Dearborn","Henry","m","23feb1751",NA,NA,"Q963349","Henry Dearborn",NA,NA
"US_Duvall_Gabriel_1752","D000578","Duvall","Gabriel","m","06dec1752",NA,NA,"Q1489164","Gabriel Duvall",NA,NA
"US_Earle_Samuel_1760","E000010","Earle","Samuel","m","28nov1760",NA,NA,"Q2218177","Samuel Earle",NA,NA
"US_Gilbert_Ezekiel_1756","G000173","Gilbert","Ezekiel","m","25mar1756",NA,NA,"Q868795","Ezekiel Gilbert",NA,NA
"US_Greenup_Christopher_9999","G000434","Greenup","Christopher","m",NA,NA,NA,"Q359433","Christopher Greenup",NA,NA
"US_Gunn_James_1753","G000526","Gunn","James","m","13mar1753",NA,NA,"Q956982","James Gunn (Georgia politician)",NA,NA
"US_Hancock_George_1754","H000148","Hancock","George","m","13jun1754",NA,NA,"Q1507501","George Hancock (Virginia politician)",NA,NA
"US_Hathorn_John_1749","H000348","Hathorn","John","m","09jan1749",NA,NA,"Q499736","John Hathorn",NA,NA
"US_Heath_John_1758","H000431","Heath","John","m","08may1758",NA,NA,"Q195030","John Heath (politician)",NA,NA
"US_Henderson_Thomas_1743","H000488","Henderson","Thomas","m","15aug1743",NA,NA,"Q435140","Thomas Henderson (New Jersey politician)",NA,NA
"US_Henry_John_9999","H000508","Henry","John","m",NA,NA,NA,"Q202950","John Henry (Maryland politician)",NA,NA
"US_Langdon_John_1741","L000067","Langdon","John","m","26jun1741",NA,NA,"Q554454","John Langdon (politician)",NA,NA
"US_Leonard_George_1729","L000246","Leonard","George","m","04jul1729",NA,NA,"Q1507754","George Leonard (congressman)",NA,NA
"US_Lyman_William_1755","L000530","Lyman","William","m","07dec1755",NA,NA,"Q1510629","William Lyman (congressman)",NA,NA
"US_Marshall_Humphrey_9999","M000155","Marshall","Humphrey","m",NA,NA,NA,"Q1386353","Humphrey Marshall (politician)",NA,NA
"US_Muhlenberg_Frederick_1750","M001063","Muhlenberg","Frederick","m","01jan1750",NA,NA,"Q724629","Frederick Muhlenberg",NA,NA
"US_Murray_William_1760","M001119","Murray","William","m","09feb1760",NA,NA,"Q1721684","William Vans Murray",NA,NA
"US_Orr_Alexander_1761","O000101","Orr","Alexander","m","06nov1761",NA,NA,"Q2641948","Alexander D. Orr",NA,NA
"US_Page_John_1743","P000018","Page","John","m","17apr1743",NA,NA,"Q732158","John Page (Virginia politician)",NA,NA
"US_Paine_Elijah_1757","P000026","Paine","Elijah","m","21jan1757",NA,NA,"Q382730","Elijah Paine",NA,NA
"US_Patten_John_1746","P000108","Patten","John","m","26apr1746",NA,NA,"Q1435759","John Patten (American politician)",NA,NA
"US_Preston_Francis_1765","P000514","Preston","Francis","m","02aug1765",NA,NA,"Q1441699","Francis Preston",NA,NA
"US_Read_Jacob_9999","R000092","Read","Jacob","m",NA,NA,NA,"Q176134","Jacob Read",NA,NA
"US_Richards_John_1753","R000215","Richards","John","m","18apr1753",NA,NA,"Q6254769","John Richards (Pennsylvania politician)",NA,NA
"US_Rutherford_Robert_1728","R000548","Rutherford","Robert","m","20oct1728",NA,NA,"Q2158678","Robert Rutherford (congressman)",NA,NA
"US_Sherburne_John_9999","S000339","Sherburne","John","m",NA,NA,NA,"Q1684009","John S. Sherburne",NA,NA
"US_Smith_Isaac_9999","S000555","Smith","Isaac","m",NA,NA,NA,"Q1673446","Isaac Smith (New Jersey politician)",NA,NA
"US_Sprigg_Thomas_9999","S000753","Sprigg","Thomas","m",NA,NA,NA,"Q1203664","Thomas Sprigg",NA,NA
"US_Strudwick_William_9999","S001029","Strudwick","William","m",NA,NA,NA,"Q2578868","William Francis Strudwick",NA,NA
"US_Swift_Zephaniah_1759","S001119","Swift","Zephaniah","m","27feb1759",NA,NA,"Q181432","Zephaniah Swift",NA,NA
"US_Tatom_Absalom_9999","T000050","Tatom","Absalom","m",NA,NA,NA,"Q331709","Absalom Tatom",NA,NA
"US_Trumbull_Jonathan_1740","T000389","Trumbull","Jonathan","m","26mar1740",NA,NA,"Q881004","Jonathan Trumbull Jr.",NA,NA
"US_White_James_1749","W000377","White","James","m","16jun1749",NA,NA,"Q532708","James White (Southwest Territory politician)",NA,NA
"US_Blount_William_1749","B000570","Blount","William","m","26mar1749",NA,NA,"Q767446","William Blount",NA,NA
"US_Goodhue_Benjamin_1748","G000286","Goodhue","Benjamin","m","20sep1748",NA,NA,"Q817516","Benjamin Goodhue",NA,NA
"US_Howard_John_1752","H000841","Howard","John","m","04jun1752",NA,NA,"Q653713","John Eager Howard",NA,NA
"US_Hunter_John_9999","H000982","Hunter","John","m",NA,NA,NA,"Q431881","John Hunter (South Carolina politician)",NA,NA
"US_Laurance_John_9999","L000120","Laurance","John","m",NA,NA,NA,"Q457691","John Laurance",NA,NA
"US_Tattnall_Josiah_9999","T000052","Tattnall","Josiah","m",NA,NA,NA,"Q357713","Josiah Tattnall (politician)",NA,NA
"US_Allen_John_1763","A000129","Allen","John","m","12jun1763",NA,NA,"Q1564861","John Allen (Connecticut politician)",NA,NA
"US_Benton_Lemuel_9999","B000396","Benton","Lemuel","m",NA,NA,NA,"Q1817142","Lemuel Benton",NA,NA
"US_Bradbury_Theophilus_1739","B000735","Bradbury","Theophilus","m","13nov1739",NA,NA,"Q2419098","Theophilus Bradbury",NA,NA
"US_Brooks_David_9999","B000875","Brooks","David","m",NA,NA,NA,"Q1173839","David Brooks (American politician)",NA,NA
"US_Bryan_Nathan_9999","B000991","Bryan","Nathan","m",NA,NA,NA,"Q1563170","Nathan Bryan (North Carolina politician)",NA,NA
"US_Bullock_Stephen_1735","B001053","Bullock","Stephen","m","10oct1735",NA,NA,"Q2344581","Stephen Bullock",NA,NA
"US_Burges_Dempsey_9999","B001081","Burges","Dempsey","m",NA,NA,NA,"Q972369","Dempsey Burgess",NA,NA
"US_Chapman_John_1740","C000313","Chapman","John","m","18oct1740",NA,NA,"Q2658986","John Chapman (Pennsylvania politician)",NA,NA
"US_Chipman_Nathaniel_1752","C000369","Chipman","Nathaniel","m","15nov1752",NA,NA,"Q433382","Nathaniel Chipman",NA,NA
"US_Cochran_James_1769","C000563","Cochran","James","m","11feb1769",NA,NA,"Q1619212","James Cochran (New York politician)",NA,NA
"US_Coit_Joshua_1758","C000600","Coit","Joshua","m","07oct1758",NA,NA,"Q1701028","Joshua Coit",NA,NA
"US_Davenport_James_1758","D000073","Davenport","James","m","12oct1758",NA,NA,"Q744560","James Davenport (Connecticut politician)",NA,NA
"US_Ege_George_1748","E000089","Ege","George","m","09mar1748",NA,NA,"Q5538924","George Ege",NA,NA
"US_Foster_Theodore_1752","F000313","Foster","Theodore","m","29apr1752",NA,NA,"Q431894","Theodore Foster",NA,NA
"US_Freeman_Nathaniel_1766","F000365","Freeman","Nathaniel","m","01may1766",NA,NA,"Q1966740","Nathaniel Freeman Jr.",NA,NA
"US_Harrison_Carter_9999","H000266","Harrison","Carter","m",NA,NA,NA,"Q1045838","Carter Bassett Harrison",NA,NA
"US_Hosmer_Hezekiah_1765","H000803","Hosmer","Hezekiah","m","07jun1765",NA,NA,"Q868783","Hezekiah L. Hosmer",NA,NA
"US_Latimer_Henry_1752","L000115","Latimer","Henry","m","24apr1752",NA,NA,"Q450169","Henry Latimer (politician)",NA,NA
"US_Lloyd_James_9999-1","L000377","Lloyd","James","m",NA,NA,NA,"Q433351","James Lloyd (Maryland politician)",NA,NA
"US_Locke_Matthew_9999","L000389","Locke","Matthew","m",NA,NA,NA,"Q974307","Matthew Locke (U.S. Congress)",NA,NA
"US_Machir_James_9999","M000013","Machir","James","m",NA,NA,NA,"Q1680754","James Machir",NA,NA
"US_Mason_Stevens_1760","M000226","Mason","Stevens","m","29dec1760",NA,NA,"Q331107","Stevens Thomson Mason (senator)",NA,NA
"US_Matthews_William_1755","M000256","Matthews","William","m","26apr1755",NA,NA,"Q2120003","William Matthews (politician)",NA,NA
"US_McClenachan_Blair_9999","M000336","McClenachan","Blair","m",NA,NA,NA,"Q4924141","Blair McClenachan",NA,NA
"US_McDowell_Joseph_1756","M000423","McDowell","Joseph","m","15feb1756",NA,NA,"Q1524227","Joseph McDowell Jr.",NA,NA
"US_Morgan_Daniel_9999","M000946","Morgan","Daniel","m",NA,NA,NA,"Q2767","Daniel Morgan",NA,NA
"US_Parker_Isaac_1768","P000058","Parker","Isaac","m","17jun1768",NA,NA,"Q927036","Isaac Parker (Massachusetts judge)",NA,NA
"US_Ross_James_1762","R000448","Ross","James","m","12jul1762",NA,NA,"Q503524","James Ross (Pennsylvania politician)",NA,NA
"US_Rutherfurd_John_1760","R000550","Rutherfurd","John","m","20sep1760",NA,NA,"Q376716","John Rutherfurd",NA,NA
"US_Schuyler_Philip_1733","S000154","Schuyler","Philip","m","20nov1733",NA,NA,"Q1115886","Philip Schuyler",NA,NA
"US_Sinnickson_Thomas_1744","S000448","Sinnickson","Thomas","m","21dec1744",NA,NA,"Q2427322","Thomas Sinnickson (merchant)",NA,NA
"US_Sitgreaves_Samuel_1764","S000460","Sitgreaves","Samuel","m","16mar1764",NA,NA,"Q7412643","Samuel Sitgreaves",NA,NA
"US_Smith_Jeremiah_1759","S000563","Smith","Jeremiah","m","29nov1759",NA,NA,"Q2734279","Jeremiah Smith (lawyer)",NA,NA
"US_Smith_Nathaniel_1762","S000595","Smith","Nathaniel","m","06jan1762",NA,NA,"Q1966804","Nathaniel Smith (American politician, born 1762)",NA,NA
"US_Smith_William_1751","S000625","Smith","William","m","20sep1751",NA,NA,"Q2580575","William Smith (South Carolina politician, born 1751)",NA,NA
"US_Smith_William_9999-1","S000633","Smith","William","m",NA,NA,NA,"Q2579645","William Loughton Smith",NA,NA
"US_Sprague_Peleg_1756","S000743","Sprague","Peleg","m","10dec1756",NA,NA,"Q1754256","Peleg Sprague (New Hampshire politician)",NA,NA
"US_Swanwick_John_9999","S001095","Swanwick","John","m",NA,NA,NA,"Q13219839","John Swanwick",NA,NA
"US_Thomson_Mark_9999","T000232","Thomson","Mark","m",NA,NA,NA,"Q1900462","Mark Thomson (politician)",NA,NA
"US_vanAlen_John_9999","V000012","vanAlen","John","m",NA,NA,NA,"Q1103463","John Evert Van Alen",NA,NA
"US_Williams_John_9999","W000513","Williams","John","m",NA,NA,NA,"Q6264325","John Williams (Salem, New York)",NA,NA
"US_Clayton_Joshua_1744","C000497","Clayton","Joshua","m","20jul1744",NA,NA,"Q652987","Joshua Clayton",NA,NA
"US_Hobart_John_1738","H000661","Hobart","John","m","06may1738",NA,NA,"Q437169","John Sloss Hobart",NA,NA
"US_North_William_9999","N000142","North","William","m",NA,NA,NA,"Q6017855","William North",NA,NA
"US_Watson_James_1750","W000202","Watson","James","m","06apr1750",NA,NA,"Q438181","James Watson (New York politician)",NA,NA
"US_Bartlett_Bailey_1750","B000198","Bartlett","Bailey","m","29jan1750",NA,NA,"Q252932","Bailey Bartlett",NA,NA
"US_Brace_Jonathan_1754","B000731","Brace","Jonathan","m","12nov1754",NA,NA,"Q1703100","Jonathan Brace",NA,NA
"US_Brown_John_1736","B000927","Brown","John","m","27jan1736",NA,NA,"Q1661398","John Brown (Rhode Island politician)",NA,NA
"US_Brown_John_1757","B000929","Brown","John","m","12sep1757",NA,NA,"Q433454","John Brown (Kentucky politician, born 1757)",NA,NA
"US_Christie_Gabriel_1775","C000382","Christie","Gabriel","m","12sep1775",NA,NA,"Q2120012","Gabriel Christie (Maryland politician)",NA,NA
"US_Cocke_William_9999","C000572","Cocke","William","m",NA,NA,NA,"Q5610267","William Cocke",NA,NA
"US_Cooper_William_1754","C000764","Cooper","William","m","02dec1754",NA,NA,"Q10393681","William Cooper (judge)",NA,NA
"US_Craik_William_1761","C000863","Craik","William","m","31oct1761",NA,NA,"Q868556","William Craik (politician)",NA,NA
"US_Davenport_Franklin_9999","D000069","Davenport","Franklin","m",NA,NA,NA,"Q376701","Franklin Davenport",NA,NA
"US_Dayton_Jonathan_1760","D000165","Dayton","Jonathan","m","16oct1760",NA,NA,"Q461697","Jonathan Dayton",NA,NA
"US_Dent_George_9999","D000254","Dent","George","m",NA,NA,NA,"Q219449","George Dent",NA,NA
"US_Dexter_Samuel_1761","D000296","Dexter","Samuel","m","14may1761",NA,NA,"Q594570","Samuel Dexter",NA,NA
"US_Dickson_Joseph_9999","D000331","Dickson","Joseph","m",NA,NA,NA,"Q1706853","Joseph Dickson",NA,NA
"US_Edmond_William_1755","E000052","Edmond","William","m","28sep1755",NA,NA,"Q1739380","William Edmond",NA,NA
"US_Eggleston_Joseph_1754","E000091","Eggleston","Joseph","m","24nov1754",NA,NA,"Q1706901","Joseph Eggleston",NA,NA
"US_Evans_Thomas_9999","E000257","Evans","Thomas","m",NA,NA,NA,"Q2423731","Thomas Evans (Virginia politician)",NA,NA
"US_Freeman_Jonathan_1745","F000364","Freeman","Jonathan","m","21mar1745",NA,NA,"Q1703164","Jonathan Freeman (representative)",NA,NA
"US_Gallatin_Albert_1761","G000020","Gallatin","Albert","m","29jan1761",NA,NA,"Q500046","Albert Gallatin",NA,NA
"US_Glen_Henry_1739","G000235","Glen","Henry","m","13jul1739",NA,NA,"Q1281998","Henry Glen",NA,NA
"US_Goode_Samuel_1756","G000279","Goode","Samuel","m","21mar1756",NA,NA,"Q2218312","Samuel Goode (American politician)",NA,NA
"US_Goodrich_Elizur_1761","G000294","Goodrich","Elizur","m","24mar1761",NA,NA,"Q1331367","Elizur Goodrich",NA,NA
